t_name,SRR072893,SRR072894
FBtr0309258,0.0,0.0
FBtr0089687,0.0,0.0
FBtr0112501,0.0,0.0
FBtr0113190,0.0,0.0
FBtr0078975,0.0,0.0
FBtr0336709,0.0,0.0
FBtr0078982,0.0,0.0
FBtr0346145,0.0,0.0
FBtr0078981,0.0,0.0
FBtr0336708,0.0,0.0
FBtr0078976,0.0,0.0
FBtr0078977,0.0,0.0
FBtr0336480,0.0,0.0
FBtr0336481,0.0,0.0
FBtr0113191,0.0,0.0
FBtr0346235,0.0,0.0
FBtr0078897,0.0,0.0
FBtr0336482,0.0,0.0
FBtr0078898,0.0,0.0
FBtr0078899,0.0,0.0
FBtr0301768,0.0,0.0
FBtr0301769,0.0,0.0
FBtr0078900,0.0,0.0
FBtr0078902,0.0,0.0
FBtr0113338,0.0,0.0
FBtr0113340,0.0,0.0
FBtr0301770,0.0,0.0
FBtr0113341,0.0,0.0
FBtr0300789,0.0,0.0
FBtr0301771,0.0,0.0
FBtr0078901,0.0,0.0
FBtr0301772,0.0,0.0
FBtr0310506,0.0,0.0
FBtr0100500,0.0,0.0
FBtr0113337,0.0,0.0
FBtr0310614,0.0,0.0
FBtr0078959,0.0,0.0
FBtr0100499,0.0,0.0
FBtr0304264,0.0,0.0
FBtr0304265,0.0,0.0
FBtr0078903,0.0,0.0
FBtr0300936,0.0,0.0
FBtr0078958,44.577831,67.016663
FBtr0273009,0.0,0.0
FBtr0336485,0.0,0.0
FBtr0078957,0.0,0.0
FBtr0339551,0.0,0.0
FBtr0336484,3.542214,8.452907000000002
FBtr0078907,0.0,0.0
FBtr0336483,45.014603,0.0
FBtr0100617,0.0,0.0
FBtr0078955,57.263374,32.795464
FBtr0078956,0.0,0.0
FBtr0078953,31.764427,0.0
FBtr0078908,0.0,0.0
FBtr0344740,41.346897,0.0
FBtr0078909,53.574013,0.0
FBtr0111220,3.375653,39.732224
FBtr0078951,0.0,0.0
FBtr0332449,0.0,0.0
FBtr0335201,0.0,0.0
FBtr0335202,0.0,0.0
FBtr0335203,0.0,0.0
FBtr0343890,0.0,0.0
FBtr0078913,0.0,0.0
FBtr0078914,21.208845,20.493248
FBtr0078915,28.243387,29.092501000000002
FBtr0078916,2.267082,4.020001000000001
FBtr0078917,0.0,0.0
FBtr0302338,0.0,0.0
